plane,angle_deg,kx,ky,kz,q,A_proj,force_factor
XY,51.5,0.622515,0.782608,0,0.763547,72158.4,127255
XZ,51.5,0.622515,0,0.782608,0.715413,55387.2,95011.9
YZ,51.5,0,0.622515,0.782608,0.919015,25466,48869.7
XY,52,0.615661,0.788011,0,0.764571,71785.4,126670
XZ,52,0.615661,0,0.788011,0.715957,54898.4,94203.3
YZ,52,0,0.615661,0.788011,0.918839,25306.7,48559.4
XY,52.5,0.608761,0.793353,0,0.765607,71406.9,126076
XZ,52.5,0.608761,0,0.793353,0.716514,54405.4,93387.7
YZ,52.5,0,0.608761,0.793353,0.918657,25145.3,48245.3
XY,53,0.601815,0.798636,0,0.766656,71023,125473
XZ,53,0.601815,0,0.798636,0.717085,53908.3,92565.2
YZ,53,0,0.601815,0.798636,0.918468,24982.1,47927.4
XY,53.5,0.594823,0.803857,0,0.767719,70633.7,124860
XZ,53.5,0.594823,0,0.803857,0.717671,53407.1,91735.9
YZ,53.5,0,0.594823,0.803857,0.918273,24817,47605.8
XY,54,0.587785,0.809017,0,0.768796,70239,124238
XZ,54,0.587785,0,0.809017,0.718272,52901.8,90899.8
YZ,54,0,0.587785,0.809017,0.91807,24650,47280.4
XY,54.5,0.580703,0.814116,0,0.769888,69838.9,123607
XZ,54.5,0.580703,0,0.814116,0.718889,52392.5,90057
YZ,54.5,0,0.580703,0.814116,0.91786,24481.1,46951.3
XY,55,0.573576,0.819152,0,0.770996,69433.6,122967
XZ,55,0.573576,0,0.819152,0.719523,51879.3,89207.6
YZ,55,0,0.573576,0.819152,0.917643,24310.3,46618.6
XY,55.5,0.566406,0.824126,0,0.772119,69022.9,122317
XZ,55.5,0.566406,0,0.824126,0.720174,51362,88351.6
YZ,55.5,0,0.566406,0.824126,0.917419,24137.7,46282.1
XY,56,0.559193,0.829038,0,0.773259,68607,121658
XZ,56,0.559193,0,0.829038,0.720844,50840.9,87489.2
YZ,56,0,0.559193,0.829038,0.917188,23963.3,45942.1
XY,56.5,0.551937,0.833886,0,0.774417,68185.9,120990
XZ,56.5,0.551937,0,0.833886,0.721532,50315.8,86620.3
YZ,56.5,0,0.551937,0.833886,0.916949,23787,45598.5
XY,57,0.544639,0.838671,0,0.775592,67759.6,120313
XZ,57,0.544639,0,0.838671,0.722241,49787,85745.2
YZ,57,0,0.544639,0.838671,0.916702,23608.9,45251.3
XY,57.5,0.5373,0.843391,0,0.776786,67328.1,119628
XZ,57.5,0.5373,0,0.843391,0.722971,49254.3,84863.8
YZ,57.5,0,0.5373,0.843391,0.916448,23429.1,44900.6
XY,58,0.529919,0.848048,0,0.777998,66891.5,118933
XZ,58,0.529919,0,0.848048,0.723722,48717.9,83976.2
YZ,58,0,0.529919,0.848048,0.916186,23247.4,44546.3
XY,58.5,0.522499,0.85264,0,0.779231,66449.8,118230
XZ,58.5,0.522499,0,0.85264,0.724497,48177.8,83082.5
YZ,58.5,0,0.522499,0.85264,0.915917,23064,44188.6
XY,59,0.515038,0.857167,0,0.780485,66003,117517
XZ,59,0.515038,0,0.857167,0.725296,47634,82182.8
YZ,59,0,0.515038,0.857167,0.915639,22878.8,43827.5
XY,59.5,0.507538,0.861629,0,0.78176,65551.2,116797
XZ,59.5,0.507538,0,0.861629,0.72612,47086.6,81277.2
YZ,59.5,0,0.507538,0.861629,0.915354,22691.8,43462.9
XY,60,0.5,0.866025,0,0.783057,65094.5,116067
XZ,60,0.5,0,0.866025,0.72697,46535.6,80365.6
YZ,60,0,0.5,0.866025,0.915061,22503.2,43094.9
XY,60.5,0.492424,0.870356,0,0.784377,64632.7,115329
XZ,60.5,0.492424,0,0.870356,0.727848,45981.1,79448.4
YZ,60.5,0,0.492424,0.870356,0.914759,22312.8,42723.6
XY,61,0.48481,0.87462,0,0.785721,64166.1,114583
XZ,61,0.48481,0,0.87462,0.728755,45423.1,78525.3
YZ,61,0,0.48481,0.87462,0.91445,22120.7,42349
XY,61.5,0.477159,0.878817,0,0.787089,63694.5,113828
XZ,61.5,0.477159,0,0.878817,0.729692,44861.6,77596.7
YZ,61.5,0,0.477159,0.878817,0.914133,21927,41971.1
XY,62,0.469472,0.882948,0,0.788484,63218.1,113065
XZ,62,0.469472,0,0.882948,0.730661,44296.6,76662.5
YZ,62,0,0.469472,0.882948,0.913808,21731.5,41590
XY,62.5,0.461749,0.887011,0,0.789904,62736.9,112293
XZ,62.5,0.461749,0,0.887011,0.731664,43728.4,75722.8
YZ,62.5,0,0.461749,0.887011,0.913475,21534.4,41205.6
XY,63,0.45399,0.891007,0,0.791352,62250.9,111513
XZ,63,0.45399,0,0.891007,0.732701,43156.7,74777.7
YZ,63,0,0.45399,0.891007,0.913134,21335.7,40818.1
XY,63.5,0.446198,0.894934,0,0.792829,61760.2,110725
XZ,63.5,0.446198,0,0.894934,0.733775,42581.8,73827.3
YZ,63.5,0,0.446198,0.894934,0.912786,21135.4,40427.4
XY,64,0.438371,0.898794,0,0.794335,61264.8,109929
XZ,64,0.438371,0,0.898794,0.734888,42003.7,72871.7
YZ,64,0,0.438371,0.898794,0.91243,20933.4,40033.7
XY,64.5,0.430511,0.902585,0,0.795871,60764.7,109125
XZ,64.5,0.430511,0,0.902585,0.73604,41422.4,71910.9
YZ,64.5,0,0.430511,0.902585,0.912066,20729.9,39636.9
XY,65,0.422618,0.906308,0,0.797439,60259.9,108314
XZ,65,0.422618,0,0.906308,0.737235,40837.9,70945
YZ,65,0,0.422618,0.906308,0.911696,20524.7,39237
XY,65.5,0.414693,0.909961,0,0.79904,59750.6,107494
XZ,65.5,0.414693,0,0.909961,0.738475,40250.2,69974
YZ,65.5,0,0.414693,0.909961,0.911318,20318,38834.2
XY,66,0.406737,0.913545,0,0.800674,59236.7,106666
XZ,66,0.406737,0,0.913545,0.739761,39659.6,68998.2
YZ,66,0,0.406737,0.913545,0.910934,20109.8,38428.5
XY,66.5,0.398749,0.91706,0,0.802343,58718.4,105831
XZ,66.5,0.398749,0,0.91706,0.741095,39065.9,68017.4
YZ,66.5,0,0.398749,0.91706,0.910544,19900,38019.9
XY,67,0.390731,0.920505,0,0.804049,58195.5,104988
XZ,67,0.390731,0,0.920505,0.742482,38469.2,67031.9
YZ,67,0,0.390731,0.920505,0.910147,19688.7,37608.4
XY,67.5,0.382683,0.92388,0,0.805791,57668.2,104137
XZ,67.5,0.382683,0,0.92388,0.743922,37869.6,66041.6
YZ,67.5,0,0.382683,0.92388,0.909746,19476,37194.1
XY,68,0.374607,0.927184,0,0.807573,57136.6,103279
XZ,68,0.374607,0,0.927184,0.745419,37267.1,65046.7
YZ,68,0,0.374607,0.927184,0.909339,19261.7,36777.1
XY,68.5,0.366501,0.930418,0,0.809394,56600.5,102413
XZ,68.5,0.366501,0,0.930418,0.746976,36661.8,64047.3
YZ,68.5,0,0.366501,0.930418,0.908929,19045.9,36357.3
XY,69,0.358368,0.93358,0,0.811257,56060.2,101539
XZ,69,0.358368,0,0.93358,0.748596,36053.7,63043.3
YZ,69,0,0.358368,0.93358,0.908515,18828.8,35935
XY,69.5,0.350207,0.936672,0,0.813162,55515.6,100659
XZ,69.5,0.350207,0,0.936672,0.750281,35442.8,62034.9
YZ,69.5,0,0.350207,0.936672,0.908098,18610.1,35510
XY,70,0.34202,0.939693,0,0.815112,54966.8,99770.8
XZ,70,0.34202,0,0.939693,0.752037,34829.3,61022.2
YZ,70,0,0.34202,0.939693,0.90768,18390.1,35082.4
XY,70.5,0.333807,0.942641,0,0.817107,54413.8,98875.6
XZ,70.5,0.333807,0,0.942641,0.753865,34213.1,60005.1
YZ,70.5,0,0.333807,0.942641,0.907262,18168.7,34652.4
XY,71,0.325568,0.945519,0,0.819149,53856.6,97973.2
XZ,71,0.325568,0,0.945519,0.755771,33594.2,58983.8
YZ,71,0,0.325568,0.945519,0.906845,17945.8,34219.9
