sample,kx,ky,kz,q,A_proj,force_factor
327,-0.958221,0.23647,0.160915,0.34071,83751.9,112287
328,-0.909658,0.225538,-0.34879,0.352728,81177.8,109812
329,-0.34417,0.850602,-0.397522,0.653609,55968.8,92550.5
330,0.488993,0.863745,-0.12178,0.785645,65198.5,116421
331,0.0907944,-0.993091,0.0743472,0.896042,33085.6,62731.7
332,-0.0822719,0.96307,-0.256372,0.882561,37584.3,70754.8
333,-0.672426,-0.0832948,0.735463,0.374925,61282.8,84259.3
334,-0.921753,0.356543,0.152472,0.367813,84424.3,115477
335,-0.0479568,0.454795,-0.889304,0.895875,24977,47353.3
336,0.762125,-0.646634,-0.0320973,0.737022,76319.4,132568
337,-0.0225954,-0.110892,-0.993576,0.907389,13029.1,24851.6
338,-0.487178,-0.813003,-0.318878,0.545191,61718.3,95366.6
339,-0.672145,-0.299427,-0.677174,0.413183,66172.5,93513.9
340,0.619432,0.730414,-0.28775,0.764182,72788.2,128412
341,-0.233869,0.686015,0.688977,0.727052,44934,77603.3
342,-0.0804294,0.939715,0.332366,0.884156,37432.1,70528
343,0.738814,-0.520697,-0.427817,0.736797,74638.5,129632
344,0.304127,0.934765,-0.183631,0.824917,53415.2,97478.2
345,0.32419,0.856356,0.401939,0.819263,54537.3,99217.8
346,-0.917197,0.352001,-0.186669,0.368946,84196.8,115261
347,-0.582003,-0.813042,-0.0153588,0.494524,66593.1,99525.1
348,-0.811603,0.513031,0.279463,0.419162,81573.4,115766
349,0.468761,-0.1403,-0.872112,0.739822,47597.1,82810.5
350,-0.865951,0.117605,-0.486105,0.342631,75665,101590
351,0.403164,-0.6296,-0.664125,0.785711,53199.5,94999
352,0.733416,0.29551,0.612189,0.728083,71463.5,123495
353,-0.0945434,-0.846913,-0.523259,0.86476,33480.7,62433.4
354,0.518149,-0.507895,-0.68816,0.760207,59279.6,104344
355,-0.478662,0.799951,-0.361887,0.570129,64706.6,101598
356,0.96428,0.208953,0.162797,0.70298,83019.7,141381
357,-0.882023,0.448401,-0.144816,0.389872,83977.3,116718
