wavelength_nm,irradiance_W_m2_nm
2332.0,0.06584000000000001
2334.0,0.06570999999999999
2336.0,0.06536
2338.0,0.06495999999999999
2340.0,0.06520000000000001
2342.0,0.06539
2344.0,0.06509000000000001
2346.0,0.06486
2348.0,0.06472
2350.0,0.06453
2352.0,0.06289
2354.0,0.06239
2356.0,0.06282
2358.0,0.06266
2360.0,0.06308
2362.0,0.06305
2364.0,0.06295
2366.0,0.06284000000000001
2368.0,0.06263
2370.0,0.06211
2372.0,0.06207
2374.0,0.06066
2376.0,0.06164
2378.0,0.06192
2380.0,0.06172
2382.0,0.06098
2384.0,0.05885
2386.0,0.05908
2388.0,0.060039999999999996
2390.0,0.060289999999999996
2392.0,0.06008
2394.0,0.06003
2396.0,0.05996
2398.0,0.05989
2400.0,0.05944
2402.0,0.05965
2404.0,0.05945
2406.0,0.05919
2408.0,0.05915
2410.0,0.05902
2412.0,0.05894
2414.0,0.05734
2416.0,0.055990000000000005
2418.0,0.057479999999999996
2420.0,0.0577
2422.0,0.05767
2424.0,0.05726
2426.0,0.05717
2428.0,0.05712
2430.0,0.05712
2432.0,0.05702
2434.0,0.056409999999999995
2436.0,0.05618
2438.0,0.055990000000000005
2440.0,0.05639
2442.0,0.056170000000000005
2444.0,0.05603
2446.0,0.054979999999999994
2448.0,0.05457
2450.0,0.054619999999999995
2452.0,0.05432
2454.0,0.054549999999999994
2456.0,0.053700000000000005
2458.0,0.05392
2460.0,0.05457
2462.0,0.05442
2464.0,0.05435
2466.0,0.054049999999999994
2468.0,0.053899999999999997
2470.0,0.05285
2472.0,0.0533
2474.0,0.053130000000000004
2476.0,0.05343
2478.0,0.05303
2480.0,0.051770000000000004
2482.0,0.0514
2484.0,0.05219
2486.0,0.0516
2488.0,0.05169
2490.0,0.05225
2492.0,0.05198
2494.0,0.05175
2496.0,0.05152
2498.0,0.05154
2500.0,0.05155
